15-05-25 17:42:31 | info: user anonymous accessed /home 	 {"ip":"::ffff:127.0.0.1","method":"GET","agent":"vscode-restclient","role":"guest"}
15-05-25 17:42:37 | info: user anonymous accessed /signup 	 {"ip":"::ffff:127.0.0.1","method":"POST","agent":"vscode-restclient","role":"guest"}
15-05-25 17:42:40 | info: user john registered successfully! 	 {"ip":"::ffff:127.0.0.1","method":"POST","agent":"vscode-restclient","role":"guest"}
15-05-25 17:44:21 | info: user anonymous accessed /signup 	 {"ip":"::ffff:127.0.0.1","method":"POST","agent":"vscode-restclient","role":"guest"}
15-05-25 17:44:23 | info: user john registered successfully! 	 {"ip":"::ffff:127.0.0.1","method":"POST","agent":"vscode-restclient","role":"guest"}
15-05-25 17:44:31 | warn: Failed login attempt 	 {"ip":"::ffff:127.0.0.1","method":"POST","agent":"vscode-restclient","reason":"User undefined is not registered!"}
15-05-25 17:44:53 | error: Error in Login session 	 {"err":"No data returned from the query.","stack":"QueryResultError: No data returned from the query.     at Query.<anonymous> (C:\\Users\\veek\\vs code projects\\javascript back end\\movie reservation system API\\server\\node_modules\\pg-promise\\lib\\query.js:217:41)     at Query.handleReadyForQuery (C:\\Users\\veek\\vs code projects\\javascript back end\\movie reservation system API\\server\\node_modules\\pg\\lib\\query.js:142:14)     at Client._handleReadyForQuery (C:\\Users\\veek\\vs code projects\\javascript back end\\movie reservation system API\\server\\node_modules\\pg\\lib\\client.js:321:19)","context":"Passport local strategy"}
15-05-25 17:44:53 | error: Authentication error in /login 	 {"error":"No data returned from the query.","stack":"QueryResultError: No data returned from the query.     at Query.<anonymous> (C:\\Users\\veek\\vs code projects\\javascript back end\\movie reservation system API\\server\\node_modules\\pg-promise\\lib\\query.js:217:41)     at Query.handleReadyForQuery (C:\\Users\\veek\\vs code projects\\javascript back end\\movie reservation system API\\server\\node_modules\\pg\\lib\\query.js:142:14)     at Client._handleReadyForQuery (C:\\Users\\veek\\vs code projects\\javascript back end\\movie reservation system API\\server\\node_modules\\pg\\lib\\client.js:321:19)","ip":"::ffff:127.0.0.1","agent":"vscode-restclient"}
15-05-25 17:45:34 | info: user anonymous accessed /home 	 {"ip":"::ffff:127.0.0.1","method":"GET","agent":"vscode-restclient","role":"guest"}
15-05-25 17:45:39 | info: user anonymous accessed /signup 	 {"ip":"::ffff:127.0.0.1","method":"POST","agent":"vscode-restclient","role":"guest"}
15-05-25 17:45:40 | warn: user anonymous failed login attempt 	 {"ip":"::ffff:127.0.0.1","method":"POST","agent":"vscode-restclient","role":"guest","reason":"user already registered"}
15-05-25 17:45:46 | error: Error in Login session 	 {"err":"email is not defined","stack":"ReferenceError: email is not defined     at Strategy._verify (C:\\Users\\veek\\vs code projects\\javascript back end\\movie reservation system API\\server\\strategies\\local-strategy.js:15:18)     at Strategy.authenticate (C:\\Users\\veek\\vs code projects\\javascript back end\\movie reservation system API\\server\\node_modules\\passport-local\\lib\\strategy.js:90:12)     at attempt (C:\\Users\\veek\\vs code projects\\javascript back end\\movie reservation system API\\server\\node_modules\\passport\\lib\\middleware\\authenticate.js:378:16)","context":"Passport local strategy"}
15-05-25 17:45:46 | error: Authentication error in /login 	 {"error":"email is not defined","stack":"ReferenceError: email is not defined     at Strategy._verify (C:\\Users\\veek\\vs code projects\\javascript back end\\movie reservation system API\\server\\strategies\\local-strategy.js:15:18)     at Strategy.authenticate (C:\\Users\\veek\\vs code projects\\javascript back end\\movie reservation system API\\server\\node_modules\\passport-local\\lib\\strategy.js:90:12)     at attempt (C:\\Users\\veek\\vs code projects\\javascript back end\\movie reservation system API\\server\\node_modules\\passport\\lib\\middleware\\authenticate.js:378:16)","ip":"::ffff:127.0.0.1","agent":"vscode-restclient"}
15-05-25 17:47:47 | info: user john logged in successfullly! 	 {"ip":"::ffff:127.0.0.1","method":"POST","agent":"vscode-restclient","role":"user"}
